Darija,English
"هاذي شحال من سيمانة، ومن بعد المعلومات اللي نشرها الصحفي ماكيس تريانتافيلوبولوس في البرنامج التلفزيوني دياله المشهور ""زونجلا"" في قناة ألفا تي في، نحاو عضو البرلمان والمحامي بيتروس مانتوفالوس على ود بعض الأعضاء من المكتب دياله تورطوا في جرائم الكسب غير المشروع والفساد.","A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption."
وقال المسؤولين باللي راهم حددوا شي موعد رسمي باش يحتفلوا بالذكرى السنوية من بعد.,"A formal anniversary event was scheduled for a later date, officials said."
"قال واحد الطالب السابق بالي راه كان كيهضر بالدارجة في القسم، وعلمهم كيفاش يديرو الرنديفويات في الملاحظات، وكان مصاحب مع الطلبة"".","A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'"
شبكة تبادل الضيافة هي المنظمة اللي غادي تربط المسافرين بالسكان المحليين في المدن التي غادي يزوروها.,A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.
طاح واحد الأوطيل صغير ف مكة المكرمة، المدينة المقدسة ديال الإسلام تقريبا ف 10 ديال الصباح هاذ النهار بالتوقيت المحلي.,"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time."
ومن بعد كتقدم لائحة ديال المضيفين المتاحين إما مطبوعة و / أو ف الأنترنت، وفبعض المرات مع المراجع والتعليقات ديال المسافرين الآخرين.,"A listing of available hosts is then provided either in print and/or online, sometimes with references and reviews by other travelers."
الشخص الذي يزن 200 رطل (90 كجم) على الأرض يزن حوالي 36 رطلاً (16 كجم) على Io. لذا فإن الجاذبية بالطبع لا تشدك كثيرًا.,"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you."
الساكنة هي واحد المجموعة ديال الكائنات الحية من نوع معين داخل منطقة جغرافية معينة.,A population is the collection of organisms of a particular species within a given geographic area.
واحد العطل كهربائي من بعد اختبار روتيني لنظام الحرائق خلا صمامات التصريف تتحل وتدفق النفط الخام بالقرب من محطة ضخ فورت غريلي رقم 9.,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.
الإعصار هو عمود دوار من هواء منخفض الضغط للغاية كيمتص الهواء المحيط للداخل ولفوق.,"A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward."
يقدر يفكر المسافر اللي عنده بزاف ديال الفلوس أنه يدير رحلة حول العالم، مع إقامات متقطعة في بزاف من هاذ الاوتيلات.,"A traveller with piles of money might consider a round the world flight, broken up with stays in many of these hotels."
كانت أسنان التريسيراتوبس قادرة باش تسحق ماشي غير الأوراق ولكن حتى الفروع والجذور اللي قاصحة بزاف.,A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.
تقدر تجمع ما بين زيارة الموقع بطريقة مزيانة وتدير رحلة بالمركب للبحيرة.,A visit to the site can be conveniently combined with a boat trip to the lake.
كيأثر اضطراب نقص الانتباه على العلاقات مع الصحاب الي فنفس العمر لحقاش الأطفال الآخرين مكيقدروش يقهموا سبب التصرفات ديالهم أو علاش كيهضروا بذاك الطريقة أو أن المستوى ديال النضج ديالهم مختلف.,ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.
قال مفوض التجارة والصناعة في الاتحاد الأفريقي ألبرت موشانجا أن بنين غادي تنضم.,AU trade and industry commissioner Albert Muchanga announced Benin was to join.
تقريبا شي عشرة ديال الدقائق قبل ما يوصل للأرض من المرة الثانية اللي قرب فيها ما بقاش يبان.,About ten minutes before it was due to land from its second approach it disapeared.
من بعد تقريبا ثلاثة آلاف عام، في عام 1610، استخدم عالم الفلك الإيطالي جاليليو جاليلي تلسكوب باش يشوف واش كوكب الزهرة عنده أطوار بحال القمر.,"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does."
غالبًا ما كيكون الوصول لهاذ الخدمات من واحد رقم هاتف مجاني كيمكن الاتصال به من معظم الهواتف بلا فلوس.,Access to these services is often through a toll-free telephone number that can be called from most phones without charge.
كانوا معاه ذاك المسؤولين، وقال للمواطنين ديال تكساس أنه غادي ياخذ الخطوات اللازمة باش يحمي السلامة ديال الجمهور.,"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety."
"وعلى حسب ما قالته وكالة ""أنسا""، ""البوليس خاف من عمليات اغتيال على مستويات رفيعة، على ود هاذشي ممكن ينوض حرب على الخلافة.","According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession."
على حسب التقارير، واحد البرطمة في شارع ماكبث تفركعات بسباب تسرب الغاز.,"According to reports, an apartment on Macbeth Street exploded due to a gas leak."
وعلى حسب ما قالوا في القصة، أن الدافع دياله كان باش يوصل للشّهرة بأيّ ثمن. وقالوا سكان أفسس اللي طالعلهم الدم بأنهم مباغيينش يسجلوا اسم هيروستراتس كاع.,"According to the story, his motivation was fame at any cost. The Ephesians, outraged, announced that Herostratus' name never be recorded."
وعلى حسب هاذشي، كيمكن الواحد يلقى أفخم أنواع الفراش في أفضل هاد المؤسسات، وممكن لحاف مصنوع يدويًا أو شي ناموسية عتيقة.,"Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed."
من بعد شحال من مائة ساعة ديال الخدمة، غادي تتحرق الفتيلة اللي كاينة في اللمبة في التالي ومغاديش تبقى اللمبة خدامة.,After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.
من بعد النكسات العسكرية الاولى، قدر إثيلريد يتفق مع أولاف، اللي رجع للنرويج ياش يحاول يربح المملكة دياله بواحد نجاح مخلط.,"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success."
"من بعد ما كان باين أن بزاف ديال العائلات كانت باغية تأخذ مساعدة قانونية باش تكافح عمليات الإخلاء، داروا اجتماع في 20 مارس في ""مركز إيست باي القانوني المجتمعي"" لضحايا عملية احتيال الإسكان.","After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam."
من بعد الحريق، حافظوا على القلعة وحماوها، وولات من أكثر المناطق الي كتجذب الناس في بوتان.,"After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions."
"من بعد الماتش، الملك ديال كلاي قال؛ ""أنا فرحان حيث قدرت نرجع في الجولات الأخيرين ديال كاع الأحداث المهمين، أنا هنا باش نحاول نربح هاذشي.""","After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this."""
من بعد ما كتتعود على التنسيق والتحرير على الانترنت، يمكنك من بعد تدير موقع الويب ديالك.,"After you become comfortable with formatting and editing on the web, then later, you might create your own website."
شركات الطيران بحال طيران الإمارات، والاتحاد للطيران، والخطوط الجوية القطرية، والخطوط الجوية التركية وسعات بشكل كبير من خدماتها لإفريقيا، وكتوفر روابط لبزاف ديال المدن الأفريقية الكبرى بأسعار تنافسية مقارنة بشركات الطيران الأوروبية الأخرى.,"Airlines such as Emirates, Etihad Airways, Qatar Airways & Turkish Airlines have greatly expanded their services to Africa, and offer connections to many major African cities at competitive rates than other European airlines."
شركات الطيران اللي كتقدم هاذشي هي الخطوط الجوية الكندي ، وخطوط دلتا الجوية، ولوفتهانزا بالنسبة للرحلات اللي جاية من أمريكا أو كندا، وويست جيت.,"Airlines that offer these include Air Canada, Delta Air Lines, Lufthansa for flights originating from the U.S. or Canada, and WestJet."
آل غور والجنرال تومي فرانكس هضروا بالزربة على العناوين المفضلة عندهم (كان المفضل عند غور منين نشرات جريدة ذي أنيون أنه هو وتيبر مارسوا أفضل علاقة جنسية في حياتهم من بعد ما خسر في المجمع الانتخابي عام 2000).,Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).
وقال الإسكندر بما أنه ملك، أنه غادي يخلص باش يعاودوا يبنيوا المعبد، لكن العرض دياله اترفض، ومن بعد، ومن بعد ما مات الإسكندر، عاودوا بناو المعبد في عام 323 قبل الميلاد.,"Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE."
كتدير المنظمة العالمية تقارير باللغات الإنجليزية واليابانية من قبل، ودابا دارت برامج باللغة الإسبانية والإيطالية والكورية للتلفزيون والانترنت والبورطابلات.,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices."
أيضًا يمكن لك تعطيهم نسخ من البوليصة / الأرقام والعناوين ديال صحابك في السفر والعائلة أو الأصدقاء في بلادك اللي باغيين المساعدة.,Also give policy/contact copies to traveling companions and relatives or friends back home willing to help.
كذلك، في المناخ اللي كيكون دافي أكثر، كتكبر البكتيريا بسرعة كبيرة وكتعيش فترة أطول برا دالجسم.,"Also, in warmer climates bacteria both grow more quickly and survive longer outside the body."
واخا أن تشيلي علنات على استقلالها في عام 1810 (وسط حروب نابليون التي خلات إسبانيا بلا حكومة مركزية عاملة لمدة عامين)، ولكن النصر الحاسم على الإسبان ما تحققش حتى لعام 1818.,"Although Chile declared independence in 1810 (amid the Napoleonic wars that left Spain without a functioning central government for a couple of years), decisive victory over the Spanish was not achieved until 1818."
واخا خروتشوف ف التالي صيفط دبابات باش بفرض النظام، ولكن خلا المجال لشي مطالب اقتصادية ووافق باش يعين فلاديسلاف جومولكا المشهور رئيس للوزراء.,"Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister."
واخا أنها ممكن توقع من الناحية النظرية كل عام (حيث موجودة في دول مختلفة)، ولكن راها ماشي هكاك من الناحية العملية.,"Although in theory they can take place annually (so long as they are in different countries), in practice they are not."
واخا الحالة الفيزيائية دياله تقدر تتغير، ولكن حالته الكيميائية كتبقى كيفما هي.,"Although its physical state may change, its chemical state remains the same."
واخا الغالبية ديال الوكالات كتستعد باش تاخذ أغلب الحجوزات المنتظمة، وبكن بزاف ديال الوكلاء متخصصين في أنواع معينة من السفر أو الحدود ديال الميزانية أو الوجهات.,"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations."
واخا تكهنو شي علماء بأنه حيث كانت موجودة كذلك في أحواض واد ساراسواتي الجاف دابا، فخاص تسمى حضارة السند والساراسواتي فعوض حضارة نهر السند، ولكن شي وحدين آخرين كيسميوها الحضارة الهارابية نسبةً لقرية هارابا حيث تم التنقيب على أول المواقع ديالها في العشرينيات.,"Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s."
واخا كتظن باللي يمكن ساهل تنضم لشي شركة ديال الطيران وتسافر معاهم بزاف، ولكن خاصك تعرف أن الامتيازات اللي كيقدموها غالبًا ما كتكون مختلفة وأن نقاط المسافر الدائم يمكن تكون أكثر سخاءً في شي شركة طيران مختلفة من نفس التحالف.,"Although you may think it is intuitive to join the airline you fly most, you should be aware that privileges offered are often different and frequent flyer points may be more generous under a different airline in the same alliance."
من بين هاد القدرات، فهم نية دلوخرين مهم بزاف. تيخلينا نفهمو الغموض المحتمل اللي كاين ف الحركات الجسدية.,"Among these abilities, understanding the intention of others is crucial. It allows us to resolve possible ambiguities of physical actions."
واحد سفينة ديال الكشفٍ على الألغام موديل أفينجر، كانت السفينة غادية لبويرتو برنسيسا ف بالاوان.,"An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan."
"300 عربة إضافية غادي تزيد العدد الإجمالي إلى 1,300 عربة غادي يجيبوهم باش يحلوا المشكلة ديال الزحام.","An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding."
عادة ما كتكون نقطة تفتيش الهجرة هي المحطة الأولى فاش كتنزل من الطيارة أو الباخرة أو أي مركبة أخرى.,"An immigration checkpoint is usually the first stop when disembarking from a plane, a ship, or another vehicle."
النفط هو من الصناعات المهمة بالنسبة للفنزويليين، حيث الدولة كتعتبر مصدر ديال الخام، واخا راه واحد في المائة فقط اللي كيخدموا في صناعة النفط.,"An important industry for Venezuelans is oil, where the country is a net exporter, even though only one percent work in the oil industry."
المرض المعدي هو المرض اللي كتسببه أحد العوامل الممرضة، بحال الفيروس أو البكتيريا أو الفطريات أو الطفيليات الأخرى.,"An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites."
بداو واحد التحقيق باش يعرفوا شنو وقع.,An inquiry was established to investigate.
وصل واحد المسؤول في شركة الغاز للبلاصة ديال الحادثة من بعد ما بلغ واحد الجار على تسرب الغاز.,An official with the gas company was reporting to the scene after a neighbor called about a gas leak.
ومن بعد كترجع للشمال من خلال الغرب، مرة أخرى من خلال واد مارا، من بعد ما طاحت الشتا في أبريل تقريبا.,"And then back to the north through the west, once again crossing the Mara river, after the rains in around April."
كتطالب جمعية تحرير الحيوانات والجمعية الملكية لمنع القسوة على الحيوانات (RSPCA) مرة أخرى بالتركيب الإلزامي ديال كاميرات المراقبة في جميع المسالخ في أستراليا.,Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs.
كاينين الحيوانات في جميع أنحاء الأرض. كيحفروا في الأرض وكيعوموا في المحيطات وكيطيروا في السما.,"Animals are found all over the earth. They dig in the ground, swim in the oceans, and fly in the sky."
كتتكون الحيوانات من بزاف ديال الخلايا. كياكلوا شي حاجات وكيهضموها لداخل. كاع الحيوانات كتقدر تتحرك.,Animals are made of many cells. They eat things and digest them inside. Most animals can move.
عيب واحد آخر في عدسات الزوم وهو أن الفتحة التالية (السرعة) ديال العدسة غالبا ما كتكون أقل.,Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower.
واحد اليوناني واحد آخر مشهور هو عالم الرياضيات فيثاغورس، وهو معروف طبعا بالنظرية دياله المشهورة ديال العلاقات بين أضلاع المثلثات القائمة.,"Another famous Greek is a mathematician Pythagoras, mostly known for his famous theorem about relations of the sides of right triangles."
"حتى لدابا مازال ما تعمرت منطقة احتواء ثانويّة أخرى تحت الخزانات اللي قادرة تهز 104,500 برميلٍ.","Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity."
أنتاركتيكا هي أبرد مكان على وجه الأرض، وهي دايرة على القطب الجنوبي.,"Antarctica is the coldest place on Earth, and surrounds the South Pole."
أي مخيم تحت الحافة في غراند كانيون خاصه تصريح للتخييم بالليل.,Any camping below the rim in Grand Canyon requires a backcountry permit.
"يلا دوزتي شي شوية ديال الوقت معلق فشي قطار أفعواني مغاديش تكون مرتاح، على الأقل، وبقاو شي ساعة على الأقل باش يخرجوا أول واحد من القطار.""","Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride."""
أي شخص مهتم باش يشوف دليل على الأضرار التي وقعات للمومياء فاش كانوا كيحاولوا يزولوها من التابوت غادي تجيه خيبة أمل لحقاش الرأس والكتاف غير هما اللي متشافين.,Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.
ستيف جوبز، الرئيس التنفيذي ديال شركة أبل، ورا الجهاز للناس وهو ماشي على المنصة وخرج الأيفون من جيب سرواله ديال الجينز.,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.
الهندسة المعمارية كتهتم بتصميم المباني ولبني ديالها. وغالبًا ما كتكون الهندسة المعمارية ديال شي بلاصة عامل جذب سياحي في حد ذاتها.,Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.
الهندسة المعمارية كترتبط بشكل كبير مع المجالات الأخرى بحال التخطيط الحضري والهندسة المدنية والفنون الزخرفية والتصميم الداخلي وتصميم المناظر الطبيعية.,"Architecture overlaps considerably with other fields including urban planning, civil engineering, decorative arts, interior design and landscape design."
قال الوزير الرئاسي رودريجو آرياس إن أرياس اتصاب بحالة خفيفة من الفيروس.,"Arias tested positive for a mild case of the virus, Presidential Minister Rodrigo Arias said."
مستعمرات نملة الجيش كتمشي وكتعشش في مراحل مختلفة حتى هي.,Army ant colonies march and nest in different phases as well.
تحركات المظاهرة من وايتهول في السّاعة 11:29 تقريبا، ودازو على ساحة ترافالغار، ومشاو في الستراند كله، حتى وصلوا لبألدويتش وكينغسواي من فوق في اتجاه هولبورن حيث كان تماك حزبُ المحافظين داير واحد المنتدى ديال الرّبيع في أوتيل غرف غراند كونوت.,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel."
في حوالي القرن الخمستاش، كان شمال إستونيا متأثر بزاف بألمانيا تقافيا.,"Around the 15th century, northern Estonia was under great cultural influence of Germany."
تقدر الأسهم ديال الأقواس القاتلة ديالهم تخترق دروع الجنود اللي كيتنافسوا. تقريبا في 1000 قبل الميلاد، الآشوريون دخلوا أول سلاح فرسان.,"Arrows from their deadly crossbows could penetrate the armor of rival soldiers. About 1000 B.C., the Assyrians introduced the first cavalry."
وعلى ذاكشي ناضت فضيحة مجهدة في المجتمع القانوني حيث اكتشفوا أعمال غير قانونية اللي دارها القضاة والمحاميين والمحاميين ديال الإجراءات والوكلاء القانونيون في الأعوام الي فاتت.,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years."
فلوريدا حيث هي الولاية الرابحة اللي واخذة كل شيء، عطات كل الأصوات ديال المندوبين ديالها الخمسين لرومني، وهاذشي خلا المركز دياله يولي أقوى ويكون هو المرشح الأول في لائحة ترشيحات الحزب الجمهوري.,"As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination."
"على حسب ما عرفنا، كاين تما غير جسم كوكبي واحد كيعرض ديناميكية أكثر من تيتان، وسميته الأرض،"" أضاف ستوفان.","As far as we know, there is only one planetary body that displays more dynamism than Titan, and its name is Earth,"" added Stofan."
"كيفما قولنا من قبل، واخا أن كلمة ""إسكيمو"" ما زالت مقبولة في أمريكا، إلا أنها كتعتبر تحقير بالنسبة لبزاف ديال سكان القطب الشمالي غير الأمريكيين وخاصةً في كندا.","As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada."
ابتداءً من بعد ظهر الأربع، كانت فتحات الخزانات ما زال كتسرب غالباً بسبب التمدد الحراري داخل الخزان.,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank."
اعتبارًا من ليلة 9 غشت، كانت عين موراكوت بعيدة بشي سبعين كيلومتر على مقاطعة فوجيان الصينية.,"As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian."
وعلى ود الطريقة باش تقدر تاخذ المعرفة والتعلم تغيرت كيفما هضرنا عليها من قبل، راه المعدل الأساسي اللي كناخذوا بيه المعرفة حتى هو تغير.,As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.
وكاع الطوموبيلات الي كانت سابقة ألونسو وقفات ورا سيارة الأمان وهي كتعمر بالليسانس، وطلع هو لقدام وقدر يربح.,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory."
لحقاش العاصفة بعيدة على الأرض اليابسة، ما زال صعيب تقييم التأثير المحتمل على أمريكا أو منطقة البحر الكاريبي.,"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean."
ومع الوقت، يزاف ديال الكلمات اللي جاية من الألمانية اندمجت. وكانت هذه هي البداية ديال التنوير.,"As time passed, many words that were borrowed from German coalesced. This was the beginning of enlightenment."
زيد على أنه بطل أولمبي وعالمي سابق، كان سايتو رئيس لجنة التدريب في اتحاد الجودو الياباني في الوقت اللي مات فيه.,"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death."
كيفما هو الحال مع مشاكل الجهاز التنفسي في الجو البارد، كتكون كاينة المشاكل المعوية في الجو الحار وفي أغلب الحالات كتكون مزعجة بشكل واضح ولكن ماشي خطيرة بزاف.,"As with respiratory problems in colder climates, intestinal problems in hot climates are fairly common and in most cases are distinctly annoying but not really dangerous."
كيحفز الاتصال غير المتزامن على تخصيص الوقت للتأمل والتفاعل مع الناس الآخرين.,Asynchronous communication encourages time for reflection and reaction to others.
طلب البوليس في الساعة 11:20من المتظاهرين باش يرجعوا للرصيف، وقالوا لهم بالي خاصهم يوازنوا ما بين الحق ديال التظاهر والحركة ديال المرور.,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up."
في الساعة 1:15 من صباح نهار السبت، وعلى حسب الشهود دازت الحافلة في الضوء الأخضر فاش دارت الطوموبيل قبالتها.,"At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it."
كحد أدنى، خاصك أحذية النعل ديالها مناسب. وعادة ما كتكون الأحذية الصيفية كتزلق على الجليد والثلج، وحتى بعض الأحذية الشتوية كتكون ماشي مناسبة.,"At a minimum, you need footwear with suitable soles. Summer shoes are usually very slippery on ice and snow, even some winter boots are deficient."
في الساعة 8:46 ديال الصباح بالضبط، المدينة كلها كانت ساكتة، وهاذي كانت اللحظة اللي ضربت فيها الطيارة الأولى الهدف ديالها .,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target."
في الدار، وبسبب التعرض المستمر للجراثيم المحلية، غادي تكون احتمالات الإصابة عالية بزاف وخاصك تكون محصن ضدها بالفعل.,"At home, due to this constant exposure to the local germs, odds are very high that you're already immune to them."
في الذروة دياله الإعصار المداري جونو - اللي اتسمى على اسم كيس أوراق النخيل بلغة جزر المالديف - وصلت سرعة الرياح دياله المتواصلة 240 كيلومتر في الساعة (149 ميل في الساعة).,"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) ."
الحفلة حضر فيها على الأقل شي 100 واحد باش يحتفلوا بالذكرى السنوية الأولى ديال راجل ومراته تزوجوا العام اللي فات.,"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year."
على الحافة ديال الأنهار الجليدية، كتتفكك الكتل الكبيرة وكتطيح ويمكن تنقز أو تتدحرج بعيد على الحافة.,"At the edge of glaciers huge blocks break loose, fall down and perhaps jump or roll farther from the edge."
في وقت منح الجائزة تحسنات نتائج مدارس أتلانتا بزاف في درجات الاختبار.,"At the time of the award, Atlanta schools had seen a large improvement on test scores."
